arm,fixture,repeat,family,criterion,passed,duration_seconds,exit_code,lines,tokens,output
M55-CURRENT,create-ui-internal,1,create,problem,1,64,0,209,8838,.github/evals/model-harness-2026/runs/M55-CURRENT/create-ui-internal.1.md
M55-CURRENT,create-ui-internal,1,create,goals,1,64,0,209,8838,.github/evals/model-harness-2026/runs/M55-CURRENT/create-ui-internal.1.md
M55-CURRENT,create-ui-internal,1,create,non_goals,1,64,0,209,8838,.github/evals/model-harness-2026/runs/M55-CURRENT/create-ui-internal.1.md
M55-CURRENT,create-ui-internal,1,create,roles,1,64,0,209,8838,.github/evals/model-harness-2026/runs/M55-CURRENT/create-ui-internal.1.md
M55-CURRENT,create-ui-internal,1,create,fr_ids,1,64,0,209,8838,.github/evals/model-harness-2026/runs/M55-CURRENT/create-ui-internal.1.md
M55-CURRENT,create-ui-internal,1,create,server_authz,1,64,0,209,8838,.github/evals/model-harness-2026/runs/M55-CURRENT/create-ui-internal.1.md
M55-CURRENT,create-ui-internal,1,create,nfr,1,64,0,209,8838,.github/evals/model-harness-2026/runs/M55-CURRENT/create-ui-internal.1.md
M55-CURRENT,create-ui-internal,1,create,acceptance_gwt,0,64,0,209,8838,.github/evals/model-harness-2026/runs/M55-CURRENT/create-ui-internal.1.md
M55-CURRENT,create-ui-internal,1,create,risks_open,1,64,0,209,8838,.github/evals/model-harness-2026/runs/M55-CURRENT/create-ui-internal.1.md
M55-CURRENT,create-ui-internal,1,create,mapped_phases,0,64,0,209,8838,.github/evals/model-harness-2026/runs/M55-CURRENT/create-ui-internal.1.md
M55-CURRENT,create-ui-internal,1,create,pages_routes,0,64,0,209,8838,.github/evals/model-harness-2026/runs/M55-CURRENT/create-ui-internal.1.md
M55-CURRENT,create-ui-internal,1,create,state_matrix,0,64,0,209,8838,.github/evals/model-harness-2026/runs/M55-CURRENT/create-ui-internal.1.md
M55-CURRENT,create-ui-internal,1,create,mermaid_flow,0,64,0,209,8838,.github/evals/model-harness-2026/runs/M55-CURRENT/create-ui-internal.1.md
M55-CURRENT,create-ui-internal,2,create,problem,1,65,0,210,11333,.github/evals/model-harness-2026/runs/M55-CURRENT/create-ui-internal.2.md
M55-CURRENT,create-ui-internal,2,create,goals,1,65,0,210,11333,.github/evals/model-harness-2026/runs/M55-CURRENT/create-ui-internal.2.md
M55-CURRENT,create-ui-internal,2,create,non_goals,1,65,0,210,11333,.github/evals/model-harness-2026/runs/M55-CURRENT/create-ui-internal.2.md
M55-CURRENT,create-ui-internal,2,create,roles,1,65,0,210,11333,.github/evals/model-harness-2026/runs/M55-CURRENT/create-ui-internal.2.md
M55-CURRENT,create-ui-internal,2,create,fr_ids,1,65,0,210,11333,.github/evals/model-harness-2026/runs/M55-CURRENT/create-ui-internal.2.md
M55-CURRENT,create-ui-internal,2,create,server_authz,1,65,0,210,11333,.github/evals/model-harness-2026/runs/M55-CURRENT/create-ui-internal.2.md
M55-CURRENT,create-ui-internal,2,create,nfr,1,65,0,210,11333,.github/evals/model-harness-2026/runs/M55-CURRENT/create-ui-internal.2.md
M55-CURRENT,create-ui-internal,2,create,acceptance_gwt,0,65,0,210,11333,.github/evals/model-harness-2026/runs/M55-CURRENT/create-ui-internal.2.md
M55-CURRENT,create-ui-internal,2,create,risks_open,1,65,0,210,11333,.github/evals/model-harness-2026/runs/M55-CURRENT/create-ui-internal.2.md
M55-CURRENT,create-ui-internal,2,create,mapped_phases,0,65,0,210,11333,.github/evals/model-harness-2026/runs/M55-CURRENT/create-ui-internal.2.md
M55-CURRENT,create-ui-internal,2,create,pages_routes,0,65,0,210,11333,.github/evals/model-harness-2026/runs/M55-CURRENT/create-ui-internal.2.md
M55-CURRENT,create-ui-internal,2,create,state_matrix,0,65,0,210,11333,.github/evals/model-harness-2026/runs/M55-CURRENT/create-ui-internal.2.md
M55-CURRENT,create-ui-internal,2,create,mermaid_flow,0,65,0,210,11333,.github/evals/model-harness-2026/runs/M55-CURRENT/create-ui-internal.2.md
M55-CURRENT,create-backend-webhook,1,create,problem,1,80,0,190,11710,.github/evals/model-harness-2026/runs/M55-CURRENT/create-backend-webhook.1.md
M55-CURRENT,create-backend-webhook,1,create,goals,1,80,0,190,11710,.github/evals/model-harness-2026/runs/M55-CURRENT/create-backend-webhook.1.md
M55-CURRENT,create-backend-webhook,1,create,non_goals,1,80,0,190,11710,.github/evals/model-harness-2026/runs/M55-CURRENT/create-backend-webhook.1.md
M55-CURRENT,create-backend-webhook,1,create,roles,0,80,0,190,11710,.github/evals/model-harness-2026/runs/M55-CURRENT/create-backend-webhook.1.md
M55-CURRENT,create-backend-webhook,1,create,fr_ids,1,80,0,190,11710,.github/evals/model-harness-2026/runs/M55-CURRENT/create-backend-webhook.1.md
M55-CURRENT,create-backend-webhook,1,create,server_authz,0,80,0,190,11710,.github/evals/model-harness-2026/runs/M55-CURRENT/create-backend-webhook.1.md
M55-CURRENT,create-backend-webhook,1,create,nfr,1,80,0,190,11710,.github/evals/model-harness-2026/runs/M55-CURRENT/create-backend-webhook.1.md
M55-CURRENT,create-backend-webhook,1,create,acceptance_gwt,0,80,0,190,11710,.github/evals/model-harness-2026/runs/M55-CURRENT/create-backend-webhook.1.md
M55-CURRENT,create-backend-webhook,1,create,risks_open,1,80,0,190,11710,.github/evals/model-harness-2026/runs/M55-CURRENT/create-backend-webhook.1.md
M55-CURRENT,create-backend-webhook,1,create,mapped_phases,0,80,0,190,11710,.github/evals/model-harness-2026/runs/M55-CURRENT/create-backend-webhook.1.md
