arm,fixture,repeat,duration,tokens,lines,family,criterion,passed
M56-BARE,create-backend-webhook,1,107,11179,403,create,problem,1
M56-BARE,create-backend-webhook,1,107,11179,403,create,goals,1
M56-BARE,create-backend-webhook,1,107,11179,403,create,non_goals,1
M56-BARE,create-backend-webhook,1,107,11179,403,create,roles,0
M56-BARE,create-backend-webhook,1,107,11179,403,create,fr_ids,0
M56-BARE,create-backend-webhook,1,107,11179,403,create,server_authz,0
M56-BARE,create-backend-webhook,1,107,11179,403,create,nfr,1
M56-BARE,create-backend-webhook,1,107,11179,403,create,acceptance_gwt,0
M56-BARE,create-backend-webhook,1,107,11179,403,create,risks_open,0
M56-BARE,create-backend-webhook,1,107,11179,403,create,mapped_phases,0
M56-BARE,create-backend-webhook,1,107,11179,403,create,ui_applicability,1
M56-BARE,create-backend-webhook,1,107,11179,403,create,delivery_semantics,1
M56-BARE,create-backend-webhook,1,107,11179,403,create,security_open_no_fake_sla,1
M56-BARE,create-backend-webhook,2,120,7731,495,create,problem,1
M56-BARE,create-backend-webhook,2,120,7731,495,create,goals,1
M56-BARE,create-backend-webhook,2,120,7731,495,create,non_goals,1
M56-BARE,create-backend-webhook,2,120,7731,495,create,roles,0
M56-BARE,create-backend-webhook,2,120,7731,495,create,fr_ids,1
M56-BARE,create-backend-webhook,2,120,7731,495,create,server_authz,0
M56-BARE,create-backend-webhook,2,120,7731,495,create,nfr,0
M56-BARE,create-backend-webhook,2,120,7731,495,create,acceptance_gwt,0
M56-BARE,create-backend-webhook,2,120,7731,495,create,risks_open,0
M56-BARE,create-backend-webhook,2,120,7731,495,create,mapped_phases,0
M56-BARE,create-backend-webhook,2,120,7731,495,create,ui_applicability,0
M56-BARE,create-backend-webhook,2,120,7731,495,create,delivery_semantics,1
M56-BARE,create-backend-webhook,2,120,7731,495,create,security_open_no_fake_sla,1
M56-BARE,create-backend-webhook,3,114,18465,472,create,problem,0
M56-BARE,create-backend-webhook,3,114,18465,472,create,goals,0
M56-BARE,create-backend-webhook,3,114,18465,472,create,non_goals,1
M56-BARE,create-backend-webhook,3,114,18465,472,create,roles,0
M56-BARE,create-backend-webhook,3,114,18465,472,create,fr_ids,1
M56-BARE,create-backend-webhook,3,114,18465,472,create,server_authz,0
M56-BARE,create-backend-webhook,3,114,18465,472,create,nfr,1
M56-BARE,create-backend-webhook,3,114,18465,472,create,acceptance_gwt,0
M56-BARE,create-backend-webhook,3,114,18465,472,create,risks_open,0
M56-BARE,create-backend-webhook,3,114,18465,472,create,mapped_phases,0
M56-BARE,create-backend-webhook,3,114,18465,472,create,ui_applicability,1
M56-BARE,create-backend-webhook,3,114,18465,472,create,delivery_semantics,1
M56-BARE,create-backend-webhook,3,114,18465,472,create,security_open_no_fake_sla,1
M56-BARE,create-backend-webhook,4,71,4668,278,create,problem,0
M56-BARE,create-backend-webhook,4,71,4668,278,create,goals,1
M56-BARE,create-backend-webhook,4,71,4668,278,create,non_goals,1
M56-BARE,create-backend-webhook,4,71,4668,278,create,roles,0
M56-BARE,create-backend-webhook,4,71,4668,278,create,fr_ids,1
M56-BARE,create-backend-webhook,4,71,4668,278,create,server_authz,0
M56-BARE,create-backend-webhook,4,71,4668,278,create,nfr,0
M56-BARE,create-backend-webhook,4,71,4668,278,create,acceptance_gwt,0
M56-BARE,create-backend-webhook,4,71,4668,278,create,risks_open,0
M56-BARE,create-backend-webhook,4,71,4668,278,create,mapped_phases,0
M56-BARE,create-backend-webhook,4,71,4668,278,create,ui_applicability,0
M56-BARE,create-backend-webhook,4,71,4668,278,create,delivery_semantics,1
M56-BARE,create-backend-webhook,4,71,4668,278,create,security_open_no_fake_sla,1
M56-BARE,create-backend-webhook,5,80,4904,327,create,problem,0
M56-BARE,create-backend-webhook,5,80,4904,327,create,goals,1
M56-BARE,create-backend-webhook,5,80,4904,327,create,non_goals,1
M56-BARE,create-backend-webhook,5,80,4904,327,create,roles,0
M56-BARE,create-backend-webhook,5,80,4904,327,create,fr_ids,1
M56-BARE,create-backend-webhook,5,80,4904,327,create,server_authz,1
M56-BARE,create-backend-webhook,5,80,4904,327,create,nfr,1
